Suburb,Land_Use,Land_Use_Description,Count
REYNELLA                                          ,1118,House-unestablished grnds/gdns                    ,45
REYNELLA                                          ,1119,Unfinished House                                  ,2
REYNELLA                                          ,1220,Maisonette                                        ,8
REYNELLA                                          ,1310,Ground Floor Unit                                 ,150
REYNELLA                                          ,1315,Detached Single Storey Unit                       ,14
REYNELLA                                          ,1330,Townhouse (Ground & 1st Floor)                    ,2
REYNELLA                                          ,1410,Single Storey Flat                                ,2
REYNELLA                                          ,2110,Retail Trade- Dprtmnt & Genrl                     ,1
REYNELLA                                          ,2131,Retail Trade - Building Materi                    ,1
REYNELLA                                          ,2140,Retail Trade - Food and Drink                     ,1
REYNELLA                                          ,2141,Delicatessen                                      ,2
REYNELLA                                          ,2151,Chicken Shop                                      ,1
REYNELLA                                          ,2163,Music Shop                                        ,1
REYNELLA                                          ,2165,Sporting Goods                                    ,2
REYNELLA                                          ,2180,Motor Vehicles & Accessories                      ,2
REYNELLA                                          ,2181,Service Station                                   ,2
REYNELLA                                          ,2182,Motor Vehicle Sales                               ,6
REYNELLA                                          ,2183,Second-hand Motor Vehicle Sale                    ,1
REYNELLA                                          ,2184,Spare Parts and Accessories                       ,1
REYNELLA                                          ,2185,Tyres and Tubes                                   ,4
REYNELLA                                          ,2189,Motor Bike Sales & Service                        ,1
REYNELLA                                          ,2199,Vacant Shop                                       ,1
REYNELLA                                          ,2210,Bank                                              ,1
REYNELLA                                          ,2220,Finance (Hire Purchase)                           ,1
REYNELLA                                          ,2280,Real Estate Agencies                              ,1
REYNELLA                                          ,2311,Restaurant - Unlicensed                           ,2
REYNELLA                                          ,2320,Beauty Salons/Ladies Hairdress                    ,4
REYNELLA                                          ,2340,"Laundering, Dry Cleaning Etc                      ",2
REYNELLA                                          ,2490,Personal Services - Other                         ,1
REYNELLA                                          ,2520,"Typewriting,Copying Etc                           ",1
REYNELLA                                          ,2600,Office/Warehouse                                  ,4
REYNELLA                                          ,2605,Business Services - Showroom                      ,1
REYNELLA                                          ,2610,Equipment Rental & Leasing                        ,1
REYNELLA                                          ,2699,Vacant Office                                     ,2
REYNELLA                                          ,2770,Physicians and Surgeons                           ,2
REYNELLA                                          ,2785,Physiotherapist                                   ,1
REYNELLA                                          ,2786,Chiropractor                                      ,1
REYNELLA                                          ,2910,Motor Vehicle Repair Services                     ,1
REYNELLA                                          ,2940,Radio and T.V. Repairs                            ,1
REYNELLA                                          ,2960,Lawnmower Repairs                                 ,1
REYNELLA                                          ,3813,Structural Metal Products                         ,1
REYNELLA                                          ,4100,Vacant Land-Urban                                 ,35
REYNELLA                                          ,4101,Vacant Land Minor Improv Urban                    ,4
REYNELLA                                          ,4150,Vacant Land - Rural Resident.                     ,1
REYNELLA                                          ,4330,Swamp or Land Subj to Flooding                    ,1
REYNELLA                                          ,4500,Reserve                                           ,10
REYNELLA                                          ,4510,Undeveloped Reserve                               ,5
REYNELLA                                          ,4520,Developed Reserve                                 ,19
REYNELLA                                          ,4530,"Road Reserves,Median Strips et                    ",4
REYNELLA                                          ,5210,Kindergarten & Child Minding                      ,1
REYNELLA                                          ,5211,Private Kindy & Child Minding                     ,3
REYNELLA                                          ,5220,Primary School                                    ,1
REYNELLA                                          ,5661,Girl Guides                                       ,1
REYNELLA                                          ,6280,Sewage Pressure Control                           ,3
REYNELLA                                          ,6290,Other Water/Irrigation/Sewage                     ,1
REYNELLA                                          ,6530,Car Parking - Motor Vehicle Tr                    ,1
REYNELLA                                          ,6710,Telephone Exchange Operation                      ,1
REYNELLA                                          ,6740,Radio Transmitting                                ,1
REYNELLA                                          ,6790,Other Telecommunications                          ,1
REYNELLA                                          ,7530,Parks and Gardens Including Pi                    ,1
REYNELLA                                          ,7770,Recreation - Swimming Area                        ,1
REYNELLA                                          ,8240,Mining and Quarrying - Crushed                    ,1
REYNELLA                                          ,8250,Mining and Quarrying - Sand &                     ,1
REYNELLA                                          ,9200,Primary Production - Livestock                    ,6
REYNELLA EAST                                     ,1100,Single Unit - House                               ,747
REYNELLA EAST                                     ,1101,House and Granny Flat                             ,4
REYNELLA EAST                                     ,1118,House-unestablished grnds/gdns                    ,2
REYNELLA EAST                                     ,1310,Ground Floor Unit                                 ,9
REYNELLA EAST                                     ,1315,Detached Single Storey Unit                       ,12
REYNELLA EAST                                     ,1760,Retired & Aged Accommodation                      ,1
REYNELLA EAST                                     ,1765,Independent Living Unit                           ,103
REYNELLA EAST                                     ,4100,Vacant Land-Urban                                 ,16
REYNELLA EAST                                     ,4510,Undeveloped Reserve                               ,9
REYNELLA EAST                                     ,4520,Developed Reserve                                 ,2
REYNELLA EAST                                     ,4530,"Road Reserves,Median Strips et                    ",1
REYNELLA EAST                                     ,4540,Walkway                                           ,3
REYNELLA EAST                                     ,5220,Primary School                                    ,1
REYNELLA EAST                                     ,6260,Sewage Treatment                                  ,1
REYNELLA EAST                                     ,6290,Other Water/Irrigation/Sewage                     ,1
REYNELLA EAST                                     ,7230,Lawn Bowls                                        ,1
REYNELLA EAST                                     ,7530,Parks and Gardens Including Pi                    ,1
SEAFORD                                           ,1100,Single Unit - House                               ,1576
SEAFORD                                           ,1101,House and Granny Flat                             ,3
SEAFORD                                           ,1112,House & Surgery                                   ,1
SEAFORD                                           ,1118,House-unestablished grnds/gdns                    ,66
SEAFORD                                           ,1119,Unfinished House                                  ,10
SEAFORD                                           ,1220,Maisonette                                        ,9
SEAFORD                                           ,1310,Ground Floor Unit                                 ,28
SEAFORD                                           ,1315,Detached Single Storey Unit                       ,15
SEAFORD                                           ,1330,Townhouse (Ground & 1st Floor)                    ,24
SEAFORD                                           ,1400,Flat                                              ,1
SEAFORD                                           ,1410,Single Storey Flat                                ,5
SEAFORD                                           ,1430,Townhouse style flat                              ,7
SEAFORD                                           ,1760,Retired & Aged Accommodation                      ,1
SEAFORD                                           ,1765,Independent Living Unit                           ,181
SEAFORD                                           ,1810,Hotel                                             ,1
SEAFORD                                           ,2021,Food and drink – Distributor/Agency               ,1
SEAFORD                                           ,2110,Retail Trade- Dprtmnt & Genrl                     ,2
SEAFORD                                           ,2120,"Retail- Drapery,Clothing,Footw                    ",1
SEAFORD                                           ,2121,Retail Trade - Clothing                           ,5
SEAFORD                                           ,2129,Retail Trade - Other                              ,1
SEAFORD                                           ,2130,Retail Trade - Household Goods                    ,1
SEAFORD                                           ,2131,Retail Trade - Building Materi                    ,1
SEAFORD                                           ,2139,Retail Other Electrical                           ,6
SEAFORD                                           ,2140,Retail Trade - Food and Drink                     ,6
SEAFORD                                           ,2144,Butcher                                           ,2
SEAFORD                                           ,2145,Fruit and Veg.                                    ,1
SEAFORD                                           ,2146,"Bread,Cakes & Pastry                              ",3
SEAFORD                                           ,2148,Fish Shop                                         ,1
SEAFORD                                           ,2149,Wine Shop                                         ,1
SEAFORD                                           ,2151,Chicken Shop                                      ,2
SEAFORD                                           ,2160,Specialty Shops                                   ,3
SEAFORD                                           ,2161,Chemist                                           ,3
SEAFORD                                           ,2162,"Newsagent,Book Shop etc                           ",1
SEAFORD                                           ,2164,Jewellery Shop                                    ,2
SEAFORD                                           ,2165,Sporting Goods                                    ,1
SEAFORD                                           ,2166,Florist & Plant Shop                              ,1
SEAFORD                                           ,2167,Gift Shop & Tobacconist                           ,3
SEAFORD                                           ,2170,Supermarkets                                      ,4
SEAFORD                                           ,2181,Service Station                                   ,2
SEAFORD                                           ,2184,Spare Parts and Accessories                       ,1
SEAFORD                                           ,2185,Tyres and Tubes                                   ,2
SEAFORD                                           ,2190,Shops and Dwelling                                ,1
SEAFORD                                           ,2199,Vacant Shop                                       ,12
SEAFORD                                           ,2210,Bank                                              ,11
SEAFORD                                           ,2280,Real Estate Agencies                              ,1
SEAFORD                                           ,2310,Food and Drink Services                           ,1
SEAFORD                                           ,2311,Restaurant - Unlicensed                           ,8
SEAFORD                                           ,2312,Restaurant - Licensed                             ,1
SEAFORD                                           ,2313,Cafe                                              ,1
SEAFORD                                           ,2314,Pizza Bar - Unlicensed                            ,1
SEAFORD                                           ,2320,Beauty Salons/Ladies Hairdress                    ,3
SEAFORD                                           ,2330,Mens Hairdressing & Tobacconis                    ,1
SEAFORD                                           ,2340,"Laundering, Dry Cleaning Etc                      ",1
SEAFORD                                           ,2370,Funeral and Crematorial Servic                    ,1
SEAFORD                                           ,2380,Photographic Services                             ,1
SEAFORD                                           ,2410,Dancing School                                    ,1
SEAFORD                                           ,2430,Travel and Tourist Bureau                         ,1
SEAFORD                                           ,2450,Lottery Sales                                     ,1
SEAFORD                                           ,2460,Gymnasiums Saunas etc                             ,2
SEAFORD                                           ,2470,"Engraver, Keycutting,Locksmith                    ",1
SEAFORD                                           ,2490,Personal Services - Other                         ,1
SEAFORD                                           ,2540,Employment Agencies                               ,1
SEAFORD                                           ,2580,Window and Office Cleaning                        ,1
SEAFORD                                           ,2600,Office/Warehouse                                  ,80
SEAFORD                                           ,2640,Refrigerated Storage                              ,1
SEAFORD                                           ,2690,Other Business Services                           ,1
SEAFORD                                           ,2699,Vacant Office                                     ,2
SEAFORD                                           ,2700,Professional Services                             ,1
SEAFORD                                           ,2730,Accounting Services                               ,1
SEAFORD                                           ,2760,Legal Services                                    ,1
SEAFORD                                           ,2770,Physicians and Surgeons                           ,1
SEAFORD                                           ,2775,Veterinary Surgeon                                ,1
SEAFORD                                           ,2786,Chiropractor                                      ,1
SEAFORD                                           ,2790,Other Professional Services                       ,2
SEAFORD                                           ,2800,Construction Services                             ,2
SEAFORD                                           ,2830,"Plumbing,Heating & Air-condit.                    ",4
SEAFORD                                           ,2900,Repair Services - Workshop                        ,11
SEAFORD                                           ,2910,Motor Vehicle Repair Services                     ,7
SEAFORD                                           ,2920,Car Wash Services                                 ,1
SEAFORD                                           ,2990,Other Repair Services                             ,1
SEAFORD                                           ,3300,Wood and Wood Products                            ,1
SEAFORD                                           ,3320,Furniture and Fixtures                            ,2
SEAFORD                                           ,3560,Plastic Products                                  ,1
SEAFORD                                           ,4100,Vacant Land-Urban                                 ,123
SEAFORD                                           ,4101,Vacant Land Minor Improv Urban                    ,2
SEAFORD                                           ,4500,Reserve                                           ,2
SEAFORD                                           ,4510,Undeveloped Reserve                               ,10
SEAFORD                                           ,4520,Developed Reserve                                 ,9
SEAFORD                                           ,4530,"Road Reserves,Median Strips et                    ",17
SEAFORD                                           ,4540,Walkway                                           ,1
SEAFORD                                           ,5210,Kindergarten & Child Minding                      ,2
SEAFORD                                           ,5211,Private Kindy & Child Minding                     ,1
SEAFORD                                           ,5220,Primary School                                    ,2
SEAFORD                                           ,5221,Private Primary School                            ,1
SEAFORD                                           ,5610,Churches/Seminary                                 ,1
SEAFORD                                           ,5620,Public Hall                                       ,1
SEAFORD                                           ,5941,Fire Station or Depot                             ,1
SEAFORD                                           ,6520,Bus Garaging & Equipment Maint                    ,1
SEAFORD                                           ,6530,Car Parking - Motor Vehicle Tr                    ,6
SEAFORD                                           ,6710,Telephone Exchange Operation                      ,1
SEAFORD                                           ,6790,Other Telecommunications                          ,1
SEAFORD                                           ,6810,Post Office                                       ,2
SEAFORD                                           ,7530,Parks and Gardens Including Pi                    ,5
SEAFORD                                           ,7600,Indoor Areas - Recreation                         ,1
SEAFORD                                           ,7690,Recreation - Indoor Other                         ,1
SEAFORD HEIGHTS                                   ,1100,Single Unit - House                               ,2
SEAFORD HEIGHTS                                   ,1992,Rural Living - Livestock                          ,1
SEAFORD HEIGHTS                                   ,2100,Retail Trade - General                            ,1
SEAFORD HEIGHTS                                   ,4100,Vacant Land-Urban                                 ,184
SEAFORD HEIGHTS                                   ,9100,Primary Production - Agricultu                    ,8
SEAFORD MEADOWS                                   ,1100,Single Unit - House                               ,863
SEAFORD MEADOWS                                   ,1110,Home Industry (Owner Resides)                     ,3
SEAFORD MEADOWS                                   ,1111,House & Office                                    ,4
SEAFORD MEADOWS                                   ,1113,House with Man & Serv.Industry                    ,1
SEAFORD MEADOWS                                   ,1118,House-unestablished grnds/gdns                    ,299
SEAFORD MEADOWS                                   ,1119,Unfinished House                                  ,25
SEAFORD MEADOWS                                   ,1220,Maisonette                                        ,48
SEAFORD MEADOWS                                   ,1315,Detached Single Storey Unit                       ,6
SEAFORD MEADOWS                                   ,1320,Ground Floor Unit Multi Storey                    ,9
SEAFORD MEADOWS                                   ,1321,First Floor Unit                                  ,27
SEAFORD MEADOWS                                   ,1330,Townhouse (Ground & 1st Floor)                    ,46
SEAFORD MEADOWS                                   ,1912,Rural Residential House                           ,3
SEAFORD MEADOWS                                   ,1999,Rural Living - Plant Nursery                      ,1
SEAFORD MEADOWS                                   ,2000,Wholesale Trade                                   ,1
SEAFORD MEADOWS                                   ,2090,Other Wholesale Trade                             ,1
SEAFORD MEADOWS                                   ,2100,Retail Trade - General                            ,4
SEAFORD MEADOWS                                   ,2134,Retail Gardening Equipment                        ,1
SEAFORD MEADOWS                                   ,2140,Retail Trade - Food and Drink                     ,1
SEAFORD MEADOWS                                   ,2144,Butcher                                           ,1
SEAFORD MEADOWS                                   ,2161,Chemist                                           ,1
SEAFORD MEADOWS                                   ,2181,Service Station                                   ,1
SEAFORD MEADOWS                                   ,2199,Vacant Shop                                       ,4
SEAFORD MEADOWS                                   ,2210,Bank                                              ,2
SEAFORD MEADOWS                                   ,2300,Personal Services                                 ,1
SEAFORD MEADOWS                                   ,2312,Restaurant - Licensed                             ,1
SEAFORD MEADOWS                                   ,2313,Cafe                                              ,2
SEAFORD MEADOWS                                   ,2320,Beauty Salons/Ladies Hairdress                    ,1
SEAFORD MEADOWS                                   ,2600,Office/Warehouse                                  ,1
SEAFORD MEADOWS                                   ,2640,Refrigerated Storage                              ,1
SEAFORD MEADOWS                                   ,2690,Other Business Services                           ,1
SEAFORD MEADOWS                                   ,2770,Physicians and Surgeons                           ,2
SEAFORD MEADOWS                                   ,2860,"Masonry,Plastering & Concrete                     ",2
SEAFORD MEADOWS                                   ,2890,Other Construction Services                       ,2
SEAFORD MEADOWS                                   ,2900,Repair Services - Workshop                        ,1
SEAFORD MEADOWS                                   ,2910,Motor Vehicle Repair Services                     ,2
SEAFORD MEADOWS                                   ,3692,"Cement,Lime and Gypsum Product                    ",1
SEAFORD MEADOWS                                   ,4100,Vacant Land-Urban                                 ,337
SEAFORD MEADOWS                                   ,4101,Vacant Land Minor Improv Urban                    ,1
SEAFORD MEADOWS                                   ,4150,Vacant Land - Rural Resident.                     ,1
SEAFORD MEADOWS                                   ,4500,Reserve                                           ,21
SEAFORD MEADOWS                                   ,4510,Undeveloped Reserve                               ,10
SEAFORD MEADOWS                                   ,4520,Developed Reserve                                 ,3
SEAFORD MEADOWS                                   ,4530,"Road Reserves,Median Strips et                    ",16
SEAFORD MEADOWS                                   ,5130,Local Government                                  ,1
SEAFORD MEADOWS                                   ,5211,Private Kindy & Child Minding                     ,1
SEAFORD MEADOWS                                   ,5330,Charitable Organisation                           ,1
SEAFORD MEADOWS                                   ,5662,Boy Scouts                                        ,1
SEAFORD MEADOWS                                   ,5941,Fire Station or Depot                             ,1
SEAFORD MEADOWS                                   ,6170,Electricity Sub-Station                           ,1
SEAFORD MEADOWS                                   ,6430,Railway terminal facil-pasngr                     ,1
SEAFORD MEADOWS                                   ,6530,Car Parking - Motor Vehicle Tr                    ,1
SEAFORD MEADOWS                                   ,7100,Outdoor Arenas                                    ,2
SEAFORD MEADOWS                                   ,9140,Primary Production - Cereals &                    ,1
SEAFORD MEADOWS                                   ,9250,Primary Production - Sheep and                    ,1
SEAFORD MEADOWS                                   ,9270,Primary Production - Horses                       ,1
SEAFORD MEADOWS                                   ,9392,horticulture                                      ,1
SEAFORD RISE                                      ,1100,Single Unit - House                               ,1963
SEAFORD RISE                                      ,1101,House and Granny Flat                             ,3
SEAFORD RISE                                      ,1118,House-unestablished grnds/gdns                    ,228
SEAFORD RISE                                      ,1119,Unfinished House                                  ,2
SEAFORD RISE                                      ,1220,Maisonette                                        ,12
SEAFORD RISE                                      ,1310,Ground Floor Unit                                 ,26
SEAFORD RISE                                      ,1315,Detached Single Storey Unit                       ,19
SEAFORD RISE                                      ,1330,Townhouse (Ground & 1st Floor)                    ,6
SEAFORD RISE                                      ,1410,Single Storey Flat                                ,43
SEAFORD RISE                                      ,1412,Flats N.E.C.                                      ,8
SEAFORD RISE                                      ,1765,Independent Living Unit                           ,69
SEAFORD RISE                                      ,2141,Delicatessen                                      ,1
SEAFORD RISE                                      ,4100,Vacant Land-Urban                                 ,66
SEAFORD RISE                                      ,4500,Reserve                                           ,7
SEAFORD RISE                                      ,4510,Undeveloped Reserve                               ,39
SEAFORD RISE                                      ,4520,Developed Reserve                                 ,4
SEAFORD RISE                                      ,4530,"Road Reserves,Median Strips et                    ",40
SEAFORD RISE                                      ,5210,Kindergarten & Child Minding                      ,1
SEAFORD RISE                                      ,5220,Primary School                                    ,1
SEAFORD RISE                                      ,6170,Electricity Sub-Station                           ,1
SEAFORD RISE                                      ,6790,Other Telecommunications                          ,1
SEAFORD RISE                                      ,9100,Primary Production - Agricultu                    ,1
SELLICKS BEACH                                    ,1100,Single Unit - House                               ,1165
SELLICKS BEACH                                    ,1101,House and Granny Flat                             ,3
SELLICKS BEACH                                    ,1110,Home Industry (Owner Resides)                     ,1
SELLICKS BEACH                                    ,1115,House & Flat                                      ,2
SELLICKS BEACH                                    ,1117,House with Single Bed & Breakfast                 ,1
SELLICKS BEACH                                    ,1118,House-unestablished grnds/gdns                    ,50
SELLICKS BEACH                                    ,1119,Unfinished House                                  ,12
SELLICKS BEACH                                    ,1220,Maisonette                                        ,18
SELLICKS BEACH                                    ,1310,Ground Floor Unit                                 ,11
SELLICKS BEACH                                    ,1330,Townhouse (Ground & 1st Floor)                    ,4
SELLICKS BEACH                                    ,1400,Flat                                              ,1
SELLICKS BEACH                                    ,1410,Single Storey Flat                                ,2
SELLICKS BEACH                                    ,1420,Two storey & higher Flat                          ,2
SELLICKS BEACH                                    ,1423,2 storey built for strata titl                    ,1
SELLICKS BEACH                                    ,1912,Rural Residential House                           ,23
SELLICKS BEACH                                    ,1991,Rural Living - Agriculture                        ,2
SELLICKS BEACH                                    ,1992,Rural Living - Livestock                          ,7
SELLICKS BEACH                                    ,1993,Rural Living - Horticulture                       ,3
SELLICKS BEACH                                    ,2110,Retail Trade- Dprtmnt & Genrl                     ,1
SELLICKS BEACH                                    ,2312,Restaurant - Licensed                             ,1
SELLICKS BEACH                                    ,2314,Pizza Bar - Unlicensed                            ,1
SELLICKS BEACH                                    ,2690,Other Business Services                           ,1
SELLICKS BEACH                                    ,4100,Vacant Land-Urban                                 ,189
SELLICKS BEACH                                    ,4101,Vacant Land Minor Improv Urban                    ,19
SELLICKS BEACH                                    ,4150,Vacant Land - Rural Resident.                     ,3
SELLICKS BEACH                                    ,4500,Reserve                                           ,5
SELLICKS BEACH                                    ,4510,Undeveloped Reserve                               ,6
SELLICKS BEACH                                    ,4520,Developed Reserve                                 ,2
SELLICKS BEACH                                    ,4530,"Road Reserves,Median Strips et                    ",6
SELLICKS BEACH                                    ,5620,Public Hall                                       ,1
SELLICKS BEACH                                    ,5941,Fire Station or Depot                             ,1
SELLICKS BEACH                                    ,6230,Water Storage                                     ,1
SELLICKS BEACH                                    ,6290,Other Water/Irrigation/Sewage                     ,1
SELLICKS BEACH                                    ,6710,Telephone Exchange Operation                      ,1
SELLICKS BEACH                                    ,6790,Other Telecommunications                          ,1
SELLICKS BEACH                                    ,6810,Post Office                                       ,1
SELLICKS BEACH                                    ,6970,Cemeteries                                        ,1
SELLICKS BEACH                                    ,7530,Parks and Gardens Including Pi                    ,3
SELLICKS BEACH                                    ,9150,Primary Production - Cereals &                    ,1
SELLICKS BEACH                                    ,9200,Primary Production - Livestock                    ,3
SELLICKS BEACH                                    ,9240,Primary Production - Cattle -                     ,1
SELLICKS BEACH                                    ,9250,Primary Production - Sheep and                    ,5
SELLICKS BEACH                                    ,9270,Primary Production - Horses                       ,1
SELLICKS BEACH                                    ,9300,Primary Production - Vines                        ,1
SELLICKS BEACH                                    ,9301,Vines - Irrigated                                 ,4
SELLICKS BEACH                                    ,9340,Primary Production - Almonds                      ,2
SELLICKS BEACH                                    ,9350,Olives                                            ,7
SELLICKS BEACH                                    ,9351,Olives - irrigated                                ,2
SELLICKS BEACH                                    ,9360,Primary Production - Vine and                     ,1
SELLICKS BEACH                                    ,9392,horticulture                                      ,1
SELLICKS HILL                                     ,1117,House with Single Bed & Breakfast                 ,1
SELLICKS HILL                                     ,1810,Hotel                                             ,1
SELLICKS HILL                                     ,1912,Rural Residential House                           ,26
SELLICKS HILL                                     ,1991,Rural Living - Agriculture                        ,2
SELLICKS HILL                                     ,1992,Rural Living - Livestock                          ,11
SELLICKS HILL                                     ,1993,Rural Living - Horticulture                       ,43
SELLICKS HILL                                     ,1994,Rural Living - Forestry                           ,2
SELLICKS HILL                                     ,1997,Rural Living - Market Garden                      ,1
SELLICKS HILL                                     ,1999,Rural Living - Plant Nursery                      ,1
SELLICKS HILL                                     ,4100,Vacant Land-Urban                                 ,1
SELLICKS HILL                                     ,4150,Vacant Land - Rural Resident.                     ,2
SELLICKS HILL                                     ,4151,Vacant Land Minor Improv Rural                    ,1
SELLICKS HILL                                     ,4510,Undeveloped Reserve                               ,1
SELLICKS HILL                                     ,4520,Developed Reserve                                 ,1
SELLICKS HILL                                     ,4530,"Road Reserves,Median Strips et                    ",6
SELLICKS HILL                                     ,6230,Water Storage                                     ,1
SELLICKS HILL                                     ,8242,Crushed stone - open workings                     ,7
SELLICKS HILL                                     ,9100,Primary Production - Agricultu                    ,1
SELLICKS HILL                                     ,9150,Primary Production - Cereals &                    ,2
SELLICKS HILL                                     ,9200,Primary Production - Livestock                    ,6
SELLICKS HILL                                     ,9210,Primary Production - Sheep - W                    ,2
SELLICKS HILL                                     ,9220,Primary Production - Sheep - M                    ,1
SELLICKS HILL                                     ,9250,Primary Production - Sheep and                    ,2
SELLICKS HILL                                     ,9300,Primary Production - Vines                        ,3
SELLICKS HILL                                     ,9301,Vines - Irrigated                                 ,34
SELLICKS HILL                                     ,9340,Primary Production - Almonds                      ,11
SELLICKS HILL                                     ,9341,Almonds - irrigated                               ,1
SELLICKS HILL                                     ,9350,Olives                                            ,8
SELLICKS HILL                                     ,9360,Primary Production - Vine and                     ,1
SELLICKS HILL                                     ,9361,Vines & others - irrigated                        ,3
SELLICKS HILL                                     ,9390,Primary Production - Horticult                    ,1
SELLICKS HILL                                     ,9391,horticulture n.e.c. - irrigate                    ,1
TATACHILLA                                        ,1912,Rural Residential House                           ,48
TATACHILLA                                        ,1991,Rural Living - Agriculture                        ,2
TATACHILLA                                        ,1992,Rural Living - Livestock                          ,10
TATACHILLA                                        ,1993,Rural Living - Horticulture                       ,6
TATACHILLA                                        ,1999,Rural Living - Plant Nursery                      ,2
TATACHILLA                                        ,3139,Winery (Wines)                                    ,1
TATACHILLA                                        ,4151,Vacant Land Minor Improv Rural                    ,2
TATACHILLA                                        ,4530,"Road Reserves,Median Strips et                    ",1
TATACHILLA                                        ,5230,Secondary School                                  ,1
TATACHILLA                                        ,5631,Confer Centre With Accommod                       ,1
TATACHILLA                                        ,6230,Water Storage                                     ,1
TATACHILLA                                        ,7530,Parks and Gardens Including Pi                    ,1
TATACHILLA                                        ,8252,Sand and gravel Open workings                     ,1
TATACHILLA                                        ,9100,Primary Production - Agricultu                    ,1
TATACHILLA                                        ,9200,Primary Production - Livestock                    ,1
TATACHILLA                                        ,9300,Primary Production - Vines                        ,1
TATACHILLA                                        ,9301,Vines - Irrigated                                 ,30
TATACHILLA                                        ,9350,Olives                                            ,1
TATACHILLA                                        ,9361,Vines & others - irrigated                        ,1
TATACHILLA                                        ,9590,Primary Production - Poultry -                    ,1
TATACHILLA                                        ,9730,Primary Production - Glasshous                    ,1
TATACHILLA                                        ,9930,Primary Production - Nursery (                    ,1
THE RANGE                                         ,1912,Rural Residential House                           ,12
THE RANGE                                         ,1992,Rural Living - Livestock                          ,26
THE RANGE                                         ,1994,Rural Living - Forestry                           ,2
THE RANGE                                         ,4100,Vacant Land-Urban                                 ,1
THE RANGE                                         ,4150,Vacant Land - Rural Resident.                     ,2
THE RANGE                                         ,5620,Public Hall                                       ,1
THE RANGE                                         ,9250,Primary Production - Sheep and                    ,1
THE RANGE                                         ,9301,Vines - Irrigated                                 ,3
THE RANGE                                         ,9360,Primary Production - Vine and                     ,1
UNKNOWN                                           ,6490,Other railway rapid rail trnst                    ,1
WHITES VALLEY                                     ,1100,Single Unit - House                               ,5
WHITES VALLEY                                     ,1912,Rural Residential House                           ,37
WHITES VALLEY                                     ,1991,Rural Living - Agriculture                        ,4
WHITES VALLEY                                     ,1992,Rural Living - Livestock                          ,11
WHITES VALLEY                                     ,1993,Rural Living - Horticulture                       ,28
WHITES VALLEY                                     ,3139,Winery (Wines)                                    ,1
WHITES VALLEY                                     ,4150,Vacant Land - Rural Resident.                     ,4
WHITES VALLEY                                     ,4151,Vacant Land Minor Improv Rural                    ,1
WHITES VALLEY                                     ,6250,Water Pressure Control                            ,1
WHITES VALLEY                                     ,9150,Primary Production - Cereals &                    ,2
WHITES VALLEY                                     ,9160,Primary Production - Cereals &                    ,2
WHITES VALLEY                                     ,9250,Primary Production - Sheep and                    ,1
WHITES VALLEY                                     ,9300,Primary Production - Vines                        ,3
WHITES VALLEY                                     ,9301,Vines - Irrigated                                 ,54
WHITES VALLEY                                     ,9340,Primary Production - Almonds                      ,3
WHITES VALLEY                                     ,9341,Almonds - irrigated                               ,2
WHITES VALLEY                                     ,9350,Olives                                            ,1
WHITES VALLEY                                     ,9361,Vines & others - irrigated                        ,2
WHITES VALLEY                                     ,9711,vegetables - irrigated                            ,1
WHITES VALLEY                                     ,9720,Primary Production - Flowers                      ,3
WHITES VALLEY                                     ,9930,Primary Production - Nursery (                    ,1
WILLUNGA                                          ,1100,Single Unit - House                               ,755
WILLUNGA                                          ,1101,House and Granny Flat                             ,6
WILLUNGA                                          ,1111,House & Office                                    ,1
WILLUNGA                                          ,1117,House with Single Bed & Breakfast                 ,5
